title,price,description,location,date,link
"SIGEČICA - Rapska - 74 m2, 3-sobni + BALKON + GARAŽA - atraktivni",1.050 €,"Stan u stambenoj zgradi, 2. kat Stambena površina: 74 m2 Lokacija: Donji Grad, Donji grad","Donji Grad, Donji grad",08.10.2025.,https://www.njuskalo.hr/nekretnine/sigecica-rapska-74-m2-3-sobni-balkon-atraktivni-novouredeni-oglas-47869832
"Iznajmljujem stan, 30m2, Trešnjevka, Remiza",550 €,"Stan u kući, 1. kat Stambena površina: 30 m2 Lokacija: Trešnjevka - Sjever, Trešnjevka","Trešnjevka - Sjever, Trešnjevka",08.10.2025.,https://www.njuskalo.hr/nekretnine/iznajmljujem-stan-30m2-tresnjevka-remiza-oglas-48202808
"Attaktivan stan 80.00 m2, u luksuznoj zgradi, tramvaj zona",1.500 €,"Stan u stambenoj zgradi, 1. kat Stambena površina: 80 m2 Lokacija: Maksimir, Maksimir","Maksimir, Maksimir",08.10.2025.,https://www.njuskalo.hr/nekretnine/attaktivan-stan-80.00-m2-luksuznoj-zgradi-oglas-47915873
"Stan: Zagreb (Donji Bukovac), 56.00 m2",500 €,"Stan u kući, potkrovlje Stambena površina: 56 m2 Lokacija: Maksimir, Donji Bukovac","Maksimir, Donji Bukovac",08.10.2025.,https://www.njuskalo.hr/nekretnine/stan-zagreb-donji-bukovac-80.00-m2-oglas-48183777
"Stan: Zagreb (Srednjaci), 60.00 m2",700 €,"Stan u stambenoj zgradi, 3. kat Stambena površina: 60 m2 Lokacija: Trešnjevka - Jug, Srednjaci","Trešnjevka - Jug, Srednjaci",08.10.2025.,https://www.njuskalo.hr/nekretnine/stan-zagreb-srednjaci-60.00-m2-oglas-48199180
SUPER PRILIKA: atraktivan stan na Vrbanima,500 €,"Stan u stambenoj zgradi, 4. kat Stambena površina: 33 m2 Lokacija: Trešnjevka - Jug, Vrbani","Trešnjevka - Jug, Vrbani",08.10.2025.,https://www.njuskalo.hr/nekretnine/super-atraktivan-stan-vrbanima-oglas-36286948
"Stan: Zagreb (Knežija), 42.00 m2",580 €,"Stan u stambenoj zgradi, 4. kat Stambena površina: 42 m2 Lokacija: Trešnjevka - Jug, Knežija","Trešnjevka - Jug, Knežija",08.10.2025.,https://www.njuskalo.hr/nekretnine/stan-zagreb-knezija-42.00-m2-oglas-48201267
"Najam, visoko prizemlje, 2 spavaće sobe",1.100 €,"Stan u stambenoj zgradi, visoko prizemlje Stambena površina: 67 m2 Lokacija: Novi Zagreb - Istok, Dugave","Novi Zagreb - Istok, Dugave",08.10.2025.,https://www.njuskalo.hr/nekretnine/najam-visoko-prizemlje-2-spavace-sobe-oglas-47928346
"Najam, 90m2, 2 spavaće sobe, centar",1.800 €,"Stan u stambenoj zgradi, visoko prizemlje Stambena površina: 90 m2 Lokacija: Donji Grad, Donji grad","Donji Grad, Donji grad",08.10.2025.,https://www.njuskalo.hr/nekretnine/najam-90m2-2-spavace-sobe-centar-oglas-47977620
"Stan: Zagreb (Knežija), 40.00 m2",650 €,"Stan u stambenoj zgradi, 6. kat Stambena površina: 40 m2 Lokacija: Trešnjevka - Jug, Knežija","Trešnjevka - Jug, Knežija",08.10.2025.,https://www.njuskalo.hr/nekretnine/stan-zagreb-knezija-40.00-m2-oglas-29401567
"Stan: Zagreb (Savski gaj), 64.00 m2 (za radnike)",190 €,"Stan u stambenoj zgradi, 14. kat Stambena površina: 64 m2 Lokacija: Novi Zagreb - Zapad, Savski gaj","Novi Zagreb - Zapad, Savski gaj",08.10.2025.,https://www.njuskalo.hr/nekretnine/stan-zagreb-savski-gaj-64.00-m2-oglas-47741354
"Zagreb, Maksimir, ekskluzivna novogradnja, potpuno namješten, 86m2",2.200 €,"Stan u stambenoj zgradi, 1. kat Stambena površina: 86.18 m2 Lokacija: Maksimir, Maksimir","Maksimir, Maksimir",08.10.2025.,https://www.njuskalo.hr/nekretnine/zagreb-maksimir-ekskluzivna-novogradnja-potpuno-namjesten-86m2-oglas-48153480
Namješten i opremljen četverosoban stan sa dva parkirna mjesta,2.000 €,"Stan u stambenoj zgradi, suteren Stambena površina: 154 m2 Lokacija: Črnomerec, Črnomerec","Črnomerec, Črnomerec",08.10.2025.,https://www.njuskalo.hr/nekretnine/namjesten-opremljen-cetverosoban-stan-dva-parkirna-mjesta-oglas-46559181
"Zagreb, Teslina - četverosobni stan 123 m2 najam",1.600 €,"Stan u stambenoj zgradi, 2. kat Stambena površina: 123 m2 Lokacija: Donji Grad, Donji grad","Donji Grad, Donji grad",08.10.2025.,https://www.njuskalo.hr/nekretnine/zagreb-teslina-cetverosobni-stan-123-m2-najam-oglas-46270042
"Trosoban stan 80m2, Donji grad - Centar, 5. kat - 2 lifta, balkon",1.250 €,"Stan u stambenoj zgradi, 5. kat Stambena površina: 80 m2 Lokacija: Donji Grad, Donji grad","Donji Grad, Donji grad",08.10.2025.,https://www.njuskalo.hr/nekretnine/trosoban-stan-80m2-donji-grad-centar-5-kat-2-lifta-balkon-oglas-45083217
Stanovi za najam radnika,2.000 €,"Stan u kući, prizemlje Stambena površina: 105 m2 Lokacija: Črnomerec, Črnomerec","Črnomerec, Črnomerec",08.10.2025.,https://www.njuskalo.hr/nekretnine/stanovi-najam-radnika-oglas-48044254
stan najam Donji Grad 150m2,1.500 €,"Stan u stambenoj zgradi, 2. kat Stambena površina: 150 m2 Lokacija: Donji Grad, Donji grad","Donji Grad, Donji grad",08.10.2025.,https://www.njuskalo.hr/nekretnine/stan-najam-donji-grad-150m2-oglas-40421110
Kompletno opremljen i namješten četverosoban stan sa terasom,1.800 €,"Stan u stambenoj zgradi, suteren Stambena površina: 150.37 m2 Lokacija: Črnomerec, Črnomerec","Črnomerec, Črnomerec",08.10.2025.,https://www.njuskalo.hr/nekretnine/kompletno-opremljen-namjesten-cetverosoban-stan-terasom-oglas-46567314
